iso3c	country	description	value	units	year	source
AND	Andorra	waste_treatment_unaccounted_for_percent	47.9	Percent		World Bank
ARE	United Arab Emirates	waste_treatment_compost_percent	9.0	Percent	2015	World Bank
ARE	United Arab Emirates	waste_treatment_landfill_unspecified_percent	9.0	Percent	2015	World Bank
ARE	United Arab Emirates	waste_treatment_open_dump_percent	62.0	Percent	2015	World Bank
ARE	United Arab Emirates	waste_treatment_recycling_percent	20.0	Percent	2015	World Bank
ARG	Argentina	waste_treatment_controlled_landfill_percent	8.9	Percent	2010	World Bank
ARG	Argentina	waste_treatment_open_dump_percent	22.6	Percent	2010	World Bank
ARG	Argentina	waste_treatment_recycling_percent	6.0	Percent	2010	World Bank
ARG	Argentina	waste_treatment_sanitary_landfill_landfill_gas_system_percent	62.5	Percent	2010	World Bank
ARM	Armenia	waste_treatment_open_dump_percent	100.0	Percent	2012	World Bank
ATG	Antigua and Barbuda	waste_treatment_compost_percent	0.08	Percent	2011	World Bank
ATG	Antigua and Barbuda	waste_treatment_controlled_landfill_percent	98.68	Percent	2014	World Bank
ATG	Antigua and Barbuda	waste_treatment_unaccounted_for_percent	1.14	Percent	2011	World Bank
ATG	Antigua and Barbuda	waste_treatment_waterways_marine_percent	0.1	Percent	2011	World Bank
AUS	Australia	waste_treatment_incineration_percent	9.77	Percent	2015	World Bank
AUS	Australia	waste_treatment_landfill_unspecified_percent	48.87	Percent	2015	World Bank
AUS	Australia	waste_treatment_recycling_percent	42.1	Percent	2015	World Bank
AUT	Austria	waste_treatment_compost_percent	31.24	Percent	2015	World Bank
AUT	Austria	waste_treatment_incineration_percent	37.9	Percent	2015	World Bank
AUT	Austria	waste_treatment_landfill_unspecified_percent	2.98	Percent	2015	World Bank
AUT	Austria	waste_treatment_recycling_percent	25.66	Percent	2015	World Bank
AUT	Austria	waste_treatment_unaccounted_for_percent	2.22	Percent		World Bank
AZE	Azerbaijan	waste_treatment_open_dump_percent	100.0	Percent	2015	World Bank
BEL	Belgium	waste_treatment_compost_percent	19.137	Percent	2015	World Bank
BEL	Belgium	waste_treatment_incineration_percent	43.39	Percent	2015	World Bank
BEL	Belgium	waste_treatment_landfill_unspecified_percent	0.91	Percent	2015	World Bank
BEL	Belgium	waste_treatment_recycling_percent	34.303000000000004	Percent	2015	World Bank
BEL	Belgium	waste_treatment_unaccounted_for_percent	2.26	Percent		World Bank
BEN	Benin	waste_treatment_recycling_percent	25.0	Percent	2005	World Bank
BEN	Benin	waste_treatment_unaccounted_for_percent	75.0	Percent		World Bank
BFA	Burkina Faso	waste_treatment_landfill_unspecified_percent	17.0	Percent	2009	World Bank
BFA	Burkina Faso	waste_treatment_open_dump_percent	59.0	Percent	2009	World Bank
BFA	Burkina Faso	waste_treatment_recycling_percent	12.0	Percent	2005	World Bank
BFA	Burkina Faso	waste_treatment_unaccounted_for_percent	12.0	Percent	2009	World Bank
BGD	Bangladesh	waste_treatment_compost_percent	5.25	Percent	2011	World Bank
BGD	Bangladesh	waste_treatment_unaccounted_for_percent	94.75	Percent		World Bank
BGR	Bulgaria	waste_treatment_compost_percent	10.32	Percent	2015	World Bank
BGR	Bulgaria	waste_treatment_incineration_percent	2.75	Percent	2015	World Bank
BGR	Bulgaria	waste_treatment_landfill_unspecified_percent	66.22	Percent	2015	World Bank
BGR	Bulgaria	waste_treatment_recycling_percent	19.03	Percent	2015	World Bank
BGR	Bulgaria	waste_treatment_unaccounted_for_percent	1.68	Percent		World Bank
BHR	Bahrain	waste_treatment_landfill_unspecified_percent	92.0	Percent	2012	World Bank
BHR	Bahrain	waste_treatment_recycling_percent	8.0	Percent	2012	World Bank
BIH	Bosnia and Herzegovina	waste_treatment_controlled_landfill_percent	8.55	Percent	2015	World Bank
BIH	Bosnia and Herzegovina	waste_treatment_open_dump_percent	41.75	Percent	2015	World Bank
BIH	Bosnia and Herzegovina	waste_treatment_other_percent	0.025	Percent	2015	World Bank
BIH	Bosnia and Herzegovina	waste_treatment_recycling_percent	0.0009699999999999999	Percent	2015	World Bank
BIH	Bosnia and Herzegovina	waste_treatment_sanitary_landfill_landfill_gas_system_percent	24.12	Percent	2015	World Bank
BIH	Bosnia and Herzegovina	waste_treatment_unaccounted_for_percent	25.55403	Percent		World Bank
BLR	Belarus	waste_treatment_controlled_landfill_percent	76.9	Percent	2016	World Bank
BLR	Belarus	waste_treatment_open_dump_percent	7.1	Percent	2016	World Bank
BLR	Belarus	waste_treatment_recycling_percent	16.0	Percent	2016	World Bank
BLZ	Belize	waste_treatment_open_dump_percent	66.0	Percent	2012	World Bank
BLZ	Belize	waste_treatment_sanitary_landfill_landfill_gas_system_percent	34.0	Percent	2012	World Bank
BMU	Bermuda	waste_treatment_compost_percent	18.3	Percent	2012	World Bank
BMU	Bermuda	waste_treatment_controlled_landfill_percent	12.2	Percent	2012	World Bank
BMU	Bermuda	waste_treatment_incineration_percent	67.6	Percent	2012	World Bank
BMU	Bermuda	waste_treatment_recycling_percent	2.0	Percent	2012	World Bank
BOL	Bolivia (Plurinational State of)	waste_treatment_compost_percent	0.4	Percent	2015	World Bank
BOL	Bolivia (Plurinational State of)	waste_treatment_controlled_landfill_percent	0.04	Percent	2015	World Bank
BOL	Bolivia (Plurinational State of)	waste_treatment_open_dump_percent	55.52	Percent	2015	World Bank
BOL	Bolivia (Plurinational State of)	waste_treatment_recycling_percent	12.11	Percent	2015	World Bank
BOL	Bolivia (Plurinational State of)	waste_treatment_sanitary_landfill_landfill_gas_system_percent	31.93	Percent	2015	World Bank
BRA	Brazil	waste_treatment_compost_percent	0.2	Percent	2015	World Bank
BRA	Brazil	waste_treatment_controlled_landfill_percent	21.88521	Percent	2015	World Bank
BRA	Brazil	waste_treatment_open_dump_percent	15.619320000000002	Percent	2015	World Bank
BRA	Brazil	waste_treatment_recycling_percent	1.4	Percent	2014	World Bank
BRA	Brazil	waste_treatment_sanitary_landfill_landfill_gas_system_percent	53.30547000000001	Percent	2015	World Bank
BRA	Brazil	waste_treatment_unaccounted_for_percent	7.589999999999988	Percent		World Bank
BRB	Barbados	waste_treatment_controlled_landfill_percent	90.0	Percent	2012	World Bank
BRB	Barbados	waste_treatment_recycling_percent	9.0	Percent	2015	World Bank
BRB	Barbados	waste_treatment_unaccounted_for_percent	1.0	Percent		World Bank
BRN	Brunei Darussalam	waste_treatment_compost_percent	2.0	Percent	2014	World Bank
BRN	Brunei Darussalam	waste_treatment_sanitary_landfill_landfill_gas_system_percent	70.0	Percent	2014	World Bank
BRN	Brunei Darussalam	waste_treatment_unaccounted_for_percent	28.0	Percent		World Bank
BTN	Bhutan	waste_treatment_compost_percent	1.39	Percent	2016	World Bank
BTN	Bhutan	waste_treatment_controlled_landfill_percent	98.0	Percent	2016	World Bank
BTN	Bhutan	waste_treatment_recycling_percent	0.86	Percent	2016	World Bank
BWA	Botswana	waste_treatment_recycling_percent	1.0	Percent	2005	World Bank
BWA	Botswana	waste_treatment_unaccounted_for_percent	99.0	Percent		World Bank
CAN	Canada	waste_treatment_compost_percent	4.08	Percent	2007	World Bank
CAN	Canada	waste_treatment_incineration_percent	3.0	Percent	2006	World Bank
CAN	Canada	waste_treatment_landfill_unspecified_percent	72.33	Percent	2008	World Bank
CAN	Canada	waste_treatment_recycling_percent	20.590000000000003	Percent	2008	World Bank
CHE	Switzerland	waste_treatment_compost_percent	21.0	Percent	2015	World Bank
CHE	Switzerland	waste_treatment_incineration_percent	47.0	Percent	2015	World Bank
CHE	Switzerland	waste_treatment_recycling_percent	32.0	Percent	2015	World Bank
CHI	Channel Islands	waste_treatment_compost_percent	15.909826589595378	Percent	2016	World Bank
CHI	Channel Islands	waste_treatment_controlled_landfill_percent	39.218063583814995	Percent	2016	World Bank
CHI	Channel Islands	waste_treatment_incineration_percent	16.441907514450865	Percent	2016	World Bank
CHI	Channel Islands	waste_treatment_recycling_percent	28.43020231213873	Percent	2016	World Bank
CHL	Chile	waste_treatment_compost_percent	0.44	Percent	2009	World Bank
CHL	Chile	waste_treatment_controlled_landfill_percent	85.25	Percent	2009	World Bank
CHL	Chile	waste_treatment_incineration_percent	0.14	Percent	2009	World Bank
CHL	Chile	waste_treatment_open_dump_percent	8.43	Percent	2009	World Bank
CHL	Chile	waste_treatment_other_percent	0.04	Percent	2009	World Bank
CHL	Chile	waste_treatment_recycling_percent	0.37	Percent	2009	World Bank
CHL	Chile	waste_treatment_unaccounted_for_percent	5.33	Percent		World Bank
CHN	China	waste_treatment_compost_percent	3.0	Percent	2011	World Bank
CHN	China	waste_treatment_incineration_percent	29.84	Percent	2014	World Bank
CHN	China	waste_treatment_landfill_unspecified_percent	60.16	Percent	2014	World Bank
CHN	China	waste_treatment_open_dump_percent	8.21	Percent	2014	World Bank
CIV	Côte d'Ivoire	waste_treatment_recycling_percent	3.0	Percent	2005	World Bank
CIV	Côte d'Ivoire	waste_treatment_unaccounted_for_percent	97.0	Percent		World Bank
CMR	Cameroon	waste_treatment_open_dump_percent	80.3	Percent	2012	World Bank
CMR	Cameroon	waste_treatment_recycling_percent	0.4	Percent	2009	World Bank
CMR	Cameroon	waste_treatment_sanitary_landfill_landfill_gas_system_percent	19.3	Percent	2013	World Bank
COD	Congo, Democratic Republic of the	waste_treatment_recycling_percent	4.9	Percent	2005	World Bank
COD	Congo, Democratic Republic of the	waste_treatment_unaccounted_for_percent	95.1	Percent		World Bank
COG	Congo	waste_treatment_recycling_percent	26.2	Percent	2005	World Bank
COG	Congo	waste_treatment_unaccounted_for_percent	73.8	Percent		World Bank
COL	Colombia	waste_treatment_open_dump_percent	4.0	Percent	2011	World Bank
COL	Colombia	waste_treatment_recycling_percent	17.2	Percent	2013	World Bank
COL	Colombia	waste_treatment_sanitary_landfill_landfill_gas_system_percent	89.0	Percent	2011	World Bank
CRI	Costa Rica	waste_treatment_controlled_landfill_percent	23.5	Percent	2010	World Bank
CRI	Costa Rica	waste_treatment_open_dump_percent	9.1	Percent	2010	World Bank
CRI	Costa Rica	waste_treatment_recycling_percent	1.26	Percent	2014	World Bank
CRI	Costa Rica	waste_treatment_sanitary_landfill_landfill_gas_system_percent	67.5	Percent	2010	World Bank
CUB	Cuba	waste_treatment_controlled_landfill_percent	30.68	Percent	2015	World Bank
CUB	Cuba	waste_treatment_open_dump_percent	42.22999999999999	Percent	2015	World Bank
CUB	Cuba	waste_treatment_recycling_percent	9.49	Percent	2015	World Bank
CUB	Cuba	waste_treatment_unaccounted_for_percent	17.6	Percent	2015	World Bank
CUW	Curaçao	waste_treatment_recycling_percent	2.0	Percent	2013	World Bank
CUW	Curaçao	waste_treatment_unaccounted_for_percent	98.0	Percent		World Bank
CYM	Cayman Islands	waste_treatment_recycling_percent	21.0	Percent	2013	World Bank
CYM	Cayman Islands	waste_treatment_unaccounted_for_percent	79.0	Percent		World Bank
CYP	Cyprus	waste_treatment_compost_percent	4.62	Percent	2015	World Bank
CYP	Cyprus	waste_treatment_landfill_unspecified_percent	74.49	Percent	2015	World Bank
CYP	Cyprus	waste_treatment_recycling_percent	13.31	Percent	2015	World Bank
CYP	Cyprus	waste_treatment_unaccounted_for_percent	7.58	Percent	2015	World Bank
CZE	Czechia	waste_treatment_compost_percent	4.22	Percent	2015	World Bank
CZE	Czechia	waste_treatment_incineration_percent	17.68	Percent	2015	World Bank
CZE	Czechia	waste_treatment_landfill_unspecified_percent	52.59	Percent	2015	World Bank
CZE	Czechia	waste_treatment_recycling_percent	25.5	Percent	2015	World Bank
CZE	Czechia	waste_treatment_unaccounted_for_percent	0.01	Percent		World Bank
DEU	Germany	waste_treatment_compost_percent	18.23	Percent	2015	World Bank
DEU	Germany	waste_treatment_incineration_percent	31.71	Percent	2015	World Bank
DEU	Germany	waste_treatment_landfill_unspecified_percent	0.21	Percent	2015	World Bank
DEU	Germany	waste_treatment_recycling_percent	47.83	Percent	2015	World Bank
DEU	Germany	waste_treatment_unaccounted_for_percent	2.02	Percent		World Bank
DMA	Dominica	waste_treatment_controlled_landfill_percent	94.0	Percent	2005	World Bank
DMA	Dominica	waste_treatment_unaccounted_for_percent	6.0	Percent	2005	World Bank
DNK	Denmark	waste_treatment_compost_percent	18.99	Percent	2015	World Bank
DNK	Denmark	waste_treatment_incineration_percent	52.59	Percent	2015	World Bank
DNK	Denmark	waste_treatment_landfill_unspecified_percent	1.13	Percent	2015	World Bank
DNK	Denmark	waste_treatment_recycling_percent	27.27	Percent	2015	World Bank
DNK	Denmark	waste_treatment_unaccounted_for_percent	0.02	Percent		World Bank
DOM	Dominican Republic	waste_treatment_open_dump_percent	72.57583140374662	Percent	2017	World Bank
DOM	Dominican Republic	waste_treatment_recycling_percent	8.2	Percent	2015	World Bank
DOM	Dominican Republic	waste_treatment_sanitary_landfill_landfill_gas_system_percent	0.1	Percent	2017	World Bank
DOM	Dominican Republic	waste_treatment_unaccounted_for_percent	19.12416859625336	Percent	2017	World Bank
DZA	Algeria	waste_treatment_compost_percent	1.0	Percent	2013	World Bank
DZA	Algeria	waste_treatment_controlled_landfill_percent	2.0	Percent	2016	World Bank
DZA	Algeria	waste_treatment_recycling_percent	8.0	Percent	2013	World Bank
DZA	Algeria	waste_treatment_sanitary_landfill_landfill_gas_system_percent	89.0	Percent	2016	World Bank
ECU	Ecuador	waste_treatment_open_dump_percent	22.28	Percent	2015	World Bank
ECU	Ecuador	waste_treatment_recycling_percent	12.9	Percent	2015	World Bank
ECU	Ecuador	waste_treatment_sanitary_landfill_landfill_gas_system_percent	53.22	Percent	2015	World Bank
ECU	Ecuador	waste_treatment_unaccounted_for_percent	11.6	Percent	2015	World Bank
EGY	Egypt	waste_treatment_compost_percent	7.0	Percent	2013	World Bank
EGY	Egypt	waste_treatment_landfill_unspecified_percent	7.0	Percent	2013	World Bank
EGY	Egypt	waste_treatment_open_dump_percent	84.0	Percent	2013	World Bank
EGY	Egypt	waste_treatment_recycling_percent	12.5	Percent	2013	World Bank
ESP	Spain	waste_treatment_compost_percent	16.45	Percent	2015	World Bank
ESP	Spain	waste_treatment_incineration_percent	11.62	Percent	2015	World Bank
ESP	Spain	waste_treatment_landfill_unspecified_percent	55.09	Percent	2015	World Bank
ESP	Spain	waste_treatment_recycling_percent	16.84	Percent	2015	World Bank
EST	Estonia	waste_treatment_compost_percent	3.6	Percent	2015	World Bank
EST	Estonia	waste_treatment_controlled_landfill_percent	7.4	Percent	2015	World Bank
EST	Estonia	waste_treatment_incineration_percent	51.37	Percent	2015	World Bank
EST	Estonia	waste_treatment_recycling_percent	24.74	Percent	2015	World Bank
EST	Estonia	waste_treatment_unaccounted_for_percent	12.89	Percent		World Bank
ETH	Ethiopia	waste_treatment_open_dump_percent	43.0	Percent	2011	World Bank
ETH	Ethiopia	waste_treatment_unaccounted_for_percent	57.0	Percent		World Bank
FIN	Finland	waste_treatment_compost_percent	12.45	Percent	2015	World Bank
FIN	Finland	waste_treatment_incineration_percent	47.92	Percent	2015	World Bank
FIN	Finland	waste_treatment_landfill_unspecified_percent	11.5	Percent	2015	World Bank
FIN	Finland	waste_treatment_recycling_percent	28.12	Percent	2015	World Bank
FIN	Finland	waste_treatment_unaccounted_for_percent	0.01	Percent		World Bank
FJI	Fiji	waste_treatment_landfill_unspecified_percent	52.0	Percent	2011	World Bank
FJI	Fiji	waste_treatment_recycling_percent	5.45	Percent	2013	World Bank
FJI	Fiji	waste_treatment_unaccounted_for_percent	42.55	Percent		World Bank
FRA	France	waste_treatment_compost_percent	17.26	Percent	2015	World Bank
FRA	France	waste_treatment_incineration_percent	34.7	Percent	2015	World Bank
FRA	France	waste_treatment_landfill_unspecified_percent	25.76	Percent	2015	World Bank
FRA	France	waste_treatment_recycling_percent	22.26	Percent	2015	World Bank
FRA	France	waste_treatment_unaccounted_for_percent	0.02	Percent		World Bank
FRO	Faroe Islands	waste_treatment_recycling_percent	67.0	Percent	2012	World Bank
FRO	Faroe Islands	waste_treatment_unaccounted_for_percent	33.0	Percent		World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	waste_treatment_compost_percent	16.23	Percent	2015	World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	waste_treatment_incineration_percent	31.38	Percent	2015	World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	waste_treatment_landfill_unspecified_percent	22.568	Percent	2015	World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	waste_treatment_recycling_percent	27.25	Percent	2015	World Bank
GBR	United Kingdom of Great Britain and Northern Ireland	waste_treatment_unaccounted_for_percent	2.5720000000000027	Percent	2015	World Bank
GIN	Guinea	waste_treatment_recycling_percent	5.0	Percent	2005	World Bank
GIN	Guinea	waste_treatment_unaccounted_for_percent	95.0	Percent		World Bank
GRC	Greece	waste_treatment_landfill_unspecified_percent	80.0	Percent	2014	World Bank
GRC	Greece	waste_treatment_other_percent	1.0	Percent	2006	World Bank
GRC	Greece	waste_treatment_recycling_percent	19.0	Percent	2014	World Bank
GRD	Grenada	waste_treatment_compost_percent	0.2	Percent	2011	World Bank
GRD	Grenada	waste_treatment_controlled_landfill_percent	98.3	Percent	2011	World Bank
GRD	Grenada	waste_treatment_other_percent	1.5	Percent	2011	World Bank
GRL	Greenland	waste_treatment_incineration_percent	40.0	Percent	2010	World Bank
GRL	Greenland	waste_treatment_landfill_unspecified_percent	60.0	Percent	2010	World Bank
GTM	Guatemala	waste_treatment_controlled_landfill_percent	9.6	Percent	2010	World Bank
GTM	Guatemala	waste_treatment_open_dump_percent	69.8	Percent	2010	World Bank
GTM	Guatemala	waste_treatment_sanitary_landfill_landfill_gas_system_percent	15.4	Percent	2010	World Bank
GTM	Guatemala	waste_treatment_unaccounted_for_percent	5.200000000000003	Percent	2010	World Bank
GUM	Guam	waste_treatment_recycling_percent	17.85	Percent	2011	World Bank
GUM	Guam	waste_treatment_sanitary_landfill_landfill_gas_system_percent	64.0	Percent	2012	World Bank
GUM	Guam	waste_treatment_unaccounted_for_percent	18.15	Percent		World Bank
GUY	Guyana	waste_treatment_landfill_unspecified_percent	61.37	Percent	2011	World Bank
GUY	Guyana	waste_treatment_recycling_percent	0.54	Percent	2010	World Bank
GUY	Guyana	waste_treatment_unaccounted_for_percent	38.09	Percent	2010	World Bank
HKG	Hong Kong	waste_treatment_landfill_unspecified_percent	66.0	Percent	2016	World Bank
HKG	Hong Kong	waste_treatment_recycling_percent	34.0	Percent	2016	World Bank
HND	Honduras	waste_treatment_controlled_landfill_percent	59.9	Percent	2010	World Bank
HND	Honduras	waste_treatment_open_dump_percent	15.0	Percent	2010	World Bank
HND	Honduras	waste_treatment_sanitary_landfill_landfill_gas_system_percent	11.3	Percent	2010	World Bank
HND	Honduras	waste_treatment_unaccounted_for_percent	13.8	Percent	2010	World Bank
HRV	Croatia	waste_treatment_compost_percent	1.69	Percent	2015	World Bank
HRV	Croatia	waste_treatment_landfill_unspecified_percent	79.75	Percent	2015	World Bank
HRV	Croatia	waste_treatment_recycling_percent	16.32	Percent	2015	World Bank
HRV	Croatia	waste_treatment_unaccounted_for_percent	2.24	Percent	2015	World Bank
HTI	Haiti	waste_treatment_controlled_landfill_percent	9.94	Percent	2012	World Bank
HTI	Haiti	waste_treatment_unaccounted_for_percent	90.06	Percent	2012	World Bank
HUN	Hungary	waste_treatment_compost_percent	6.22	Percent	2015	World Bank
HUN	Hungary	waste_treatment_incineration_percent	14.14	Percent	2015	World Bank
HUN	Hungary	waste_treatment_landfill_unspecified_percent	53.64	Percent	2015	World Bank
HUN	Hungary	waste_treatment_recycling_percent	25.94	Percent	2015	World Bank
HUN	Hungary	waste_treatment_unaccounted_for_percent	0.06	Percent		World Bank
IDN	Indonesia	waste_treatment_landfill_unspecified_percent	69.0	Percent	2016	World Bank
IDN	Indonesia	waste_treatment_open_dump_percent	10.0	Percent	2016	World Bank
IDN	Indonesia	waste_treatment_other_percent	14.0	Percent	2012	World Bank
IDN	Indonesia	waste_treatment_recycling_percent	7.0	Percent	2016	World Bank
IMN	Isle of Man	waste_treatment_incineration_percent	25.0	Percent	2011	World Bank
IMN	Isle of Man	waste_treatment_landfill_unspecified_percent	25.0	Percent	2011	World Bank
IMN	Isle of Man	waste_treatment_recycling_percent	50.0	Percent	2011	World Bank
IND	India	waste_treatment_compost_percent	18.0	Percent	2016	World Bank
IND	India	waste_treatment_open_dump_percent	77.0	Percent	2016	World Bank
IND	India	waste_treatment_recycling_percent	5.0	Percent	2013	World Bank
IRL	Ireland	waste_treatment_compost_percent	6.0	Percent	2012	World Bank
IRL	Ireland	waste_treatment_controlled_landfill_percent	41.0	Percent	2012	World Bank
IRL	Ireland	waste_treatment_incineration_percent	17.0	Percent	2012	World Bank
IRL	Ireland	waste_treatment_other_percent	2.0	Percent	2012	World Bank
IRL	Ireland	waste_treatment_recycling_percent	33.0	Percent	2012	World Bank
IRL	Ireland	waste_treatment_unaccounted_for_percent	1.0	Percent		World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_anaerobic_digestion_percent	0.3	Percent	2017	World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_compost_percent	12.0	Percent	2017	World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_controlled_landfill_percent	10.0	Percent	2017	World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_incineration_percent	0.4	Percent	2017	World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_open_dump_percent	72.0	Percent	2017	World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_recycling_percent	5.0	Percent	2017	World Bank
IRN	Iran (Islamic Republic of)	waste_treatment_unaccounted_for_percent	0.3	Percent		World Bank
IRQ	Iraq	waste_treatment_open_dump_percent	100.0	Percent	2015	World Bank
ISL	Iceland	waste_treatment_compost_percent	2.86	Percent	2013	World Bank
ISL	Iceland	waste_treatment_incineration_percent	1.9	Percent	2013	World Bank
ISL	Iceland	waste_treatment_landfill_unspecified_percent	30.29	Percent	2013	World Bank
ISL	Iceland	waste_treatment_other_percent	9.140000000000002	Percent	2013	World Bank
ISL	Iceland	waste_treatment_recycling_percent	55.81	Percent	2013	World Bank
ISR	Israel	waste_treatment_landfill_unspecified_percent	75.0	Percent	2017	World Bank
ISR	Israel	waste_treatment_recycling_percent	25.0	Percent	2017	World Bank
ITA	Italy	waste_treatment_compost_percent	17.6	Percent	2015	World Bank
ITA	Italy	waste_treatment_incineration_percent	19.0	Percent	2015	World Bank
ITA	Italy	waste_treatment_landfill_unspecified_percent	26.48	Percent	2015	World Bank
ITA	Italy	waste_treatment_recycling_percent	25.9	Percent	2015	World Bank
ITA	Italy	waste_treatment_unaccounted_for_percent	11.02	Percent	2015	World Bank
JAM	Jamaica	waste_treatment_controlled_landfill_percent	64.0	Percent	2016	World Bank
JAM	Jamaica	waste_treatment_other_percent	29.0	Percent	2013	World Bank
JAM	Jamaica	waste_treatment_unaccounted_for_percent	7.0	Percent		World Bank
JOR	Jordan	waste_treatment_landfill_unspecified_percent	48.0	Percent	2014	World Bank
JOR	Jordan	waste_treatment_open_dump_percent	45.0	Percent	2014	World Bank
JOR	Jordan	waste_treatment_recycling_percent	7.0	Percent	2014	World Bank
JPN	Japan	waste_treatment_anaerobic_digestion_percent	0.1	Percent	2015	World Bank
JPN	Japan	waste_treatment_compost_percent	0.4	Percent	2015	World Bank
JPN	Japan	waste_treatment_controlled_landfill_percent	1.1	Percent	2015	World Bank
JPN	Japan	waste_treatment_incineration_percent	80.2	Percent	2015	World Bank
JPN	Japan	waste_treatment_other_percent	13.3	Percent	2015	World Bank
JPN	Japan	waste_treatment_recycling_percent	4.9	Percent	2015	World Bank
KAZ	Kazakhstan	waste_treatment_open_dump_percent	60.1	Percent	2012	World Bank
KAZ	Kazakhstan	waste_treatment_recycling_percent	2.92	Percent	2012	World Bank
KAZ	Kazakhstan	waste_treatment_unaccounted_for_percent	36.98	Percent		World Bank
KEN	Kenya	waste_treatment_recycling_percent	8.0	Percent	2009	World Bank
KEN	Kenya	waste_treatment_unaccounted_for_percent	92.0	Percent		World Bank
KGZ	Kyrgyzstan	waste_treatment_open_dump_percent	100.0	Percent	2010	World Bank
KHM	Cambodia	waste_treatment_other_percent	17.5	Percent	2004	World Bank
KHM	Cambodia	waste_treatment_unaccounted_for_percent	82.5	Percent		World Bank
KNA	Saint Kitts and Nevis	waste_treatment_controlled_landfill_percent	100.0	Percent	2017	World Bank
KOR	Korea, Republic of	waste_treatment_compost_percent	1.0	Percent	2014	World Bank
KOR	Korea, Republic of	waste_treatment_incineration_percent	25.0	Percent	2014	World Bank
KOR	Korea, Republic of	waste_treatment_landfill_unspecified_percent	16.0	Percent	2014	World Bank
KOR	Korea, Republic of	waste_treatment_recycling_percent	58.0	Percent	2014	World Bank
KWT	Kuwait	waste_treatment_open_dump_percent	100.0	Percent	2014	World Bank
LAO	Lao People's Democratic Republic	waste_treatment_controlled_landfill_percent	30.0	Percent	2015	World Bank
LAO	Lao People's Democratic Republic	waste_treatment_open_dump_percent	60.0	Percent	2015	World Bank
LAO	Lao People's Democratic Republic	waste_treatment_recycling_percent	10.0	Percent	2015	World Bank
LBN	Lebanon	waste_treatment_compost_percent	15.0	Percent	2014	World Bank
LBN	Lebanon	waste_treatment_controlled_landfill_percent	48.0	Percent	2014	World Bank
LBN	Lebanon	waste_treatment_open_dump_percent	29.0	Percent	2014	World Bank
LBN	Lebanon	waste_treatment_recycling_percent	8.0	Percent	2014	World Bank
LCA	Saint Lucia	waste_treatment_compost_percent	0.1	Percent	2010	World Bank
LCA	Saint Lucia	waste_treatment_controlled_landfill_percent	96.8	Percent	2010	World Bank
LCA	Saint Lucia	waste_treatment_other_percent	2.6	Percent	2010	World Bank
LCA	Saint Lucia	waste_treatment_unaccounted_for_percent	0.5	Percent	2010	World Bank
LIE	Liechtenstein	waste_treatment_recycling_percent	64.6	Percent	2015	World Bank
LIE	Liechtenstein	waste_treatment_unaccounted_for_percent	35.4	Percent		World Bank
LKA	Sri Lanka	waste_treatment_compost_percent	5.0	Percent	2016	World Bank
LKA	Sri Lanka	waste_treatment_open_dump_percent	85.0	Percent	2016	World Bank
LKA	Sri Lanka	waste_treatment_recycling_percent	12.79	Percent	2016	World Bank
LTU	Lithuania	waste_treatment_compost_percent	10.15	Percent	2015	World Bank
LTU	Lithuania	waste_treatment_incineration_percent	11.54	Percent	2015	World Bank
LTU	Lithuania	waste_treatment_landfill_unspecified_percent	54.0	Percent	2015	World Bank
LTU	Lithuania	waste_treatment_recycling_percent	22.92	Percent	2015	World Bank
LTU	Lithuania	waste_treatment_unaccounted_for_percent	1.39	Percent	2015	World Bank
LUX	Luxembourg	waste_treatment_compost_percent	19.66	Percent	2015	World Bank
LUX	Luxembourg	waste_treatment_incineration_percent	33.99	Percent	2015	World Bank
LUX	Luxembourg	waste_treatment_landfill_unspecified_percent	17.7	Percent	2015	World Bank
LUX	Luxembourg	waste_treatment_recycling_percent	28.37	Percent	2015	World Bank
LUX	Luxembourg	waste_treatment_unaccounted_for_percent	0.28	Percent		World Bank
LVA	Latvia	waste_treatment_compost_percent	5.48	Percent	2015	World Bank
LVA	Latvia	waste_treatment_landfill_unspecified_percent	57.64	Percent	2015	World Bank
LVA	Latvia	waste_treatment_recycling_percent	21.23	Percent	2015	World Bank
LVA	Latvia	waste_treatment_unaccounted_for_percent	15.65	Percent		World Bank
MAC	Macao	waste_treatment_recycling_percent	20.0	Percent	2014	World Bank
MAC	Macao	waste_treatment_unaccounted_for_percent	80.0	Percent		World Bank
MAR	Morocco	waste_treatment_compost_percent	1.0	Percent	2014	World Bank
MAR	Morocco	waste_treatment_open_dump_percent	52.0	Percent	2014	World Bank
MAR	Morocco	waste_treatment_other_percent	2.0	Percent	2014	World Bank
MAR	Morocco	waste_treatment_recycling_percent	8.0	Percent	2014	World Bank
MAR	Morocco	waste_treatment_sanitary_landfill_landfill_gas_system_percent	37.0	Percent	2014	World Bank
